!SIL 1.0	sil
<UNK> 1.0	spn
सूरे 1.0	s uu r ee
ओतपोत 1.0	oo t p oo t
थैलिक 1.0	th ei l i k
लेता 1.0	l ee t aa
बायें 1.0	b aa y ee q
कैंडीडेट्स 1.0	k ei q dx ii dx ee tx s
घमसान 1.0	gh a m s aa n
शॉटपुट 1.0	sh ax tx p u tx
अनुमुला 1.0	a n u m u l aa
पलीता 1.0	p a l ii t aa
पोसो 1.0	p oo s oo
बांझ 1.0	b aa q jh
बिमारी 1.0	b i m aa r ii
गॉर्डन 1.0	g ax r dx a n
स्क्रीनों 1.0	s k r ii n oo q
इन्दीवर 1.0	i n d ii w a r
गोपनीयता 1.0	g oo p n ii y t aa
करत 1.0	k a r a t
जालसाज 1.0	j aa l s aa j
नंदुरबार 1.0	n a q d u r b aa r
पेक्टिन 1.0	p ee k tx i n
ढ़लने 1.0	dxhq a l n ee
पहलु 1.0	p a h l u
नग्गर 1.0	n a g g a r
भठ्ठी 1.0	bh a txh txh ii
गेनाडी 1.0	g ee n aa dx ii
विवाहित 1.0	w i w aa h i t
परमसुख 1.0	p a r m a s u kh
वेदनानाशक 1.0	w ee d n aa n aa sh a k
टेंट 1.0	tx ee q tx
सोनू 1.0	s oo n uu
पेपरवर्क 1.0	p ee p r a w a r k
फलस्वरूप 1.0	ph a l a s w a r uu p
आगुंग 1.0	aa g u q g
उत्रैण 1.0	u t r ei nx
संतान 1.0	s a q t aa n
सदरबाज़ार 1.0	s a d a r b aa z aa r
नशाखोरी 1.0	n a sh aa kh oo r ii
दर्शाए 1.0	d a r sh aa ee
एक्चुरियल 1.0	ee k c u r i y a l
ग्रूम 1.0	g r uu m
बर्ताव 1.0	b a r t aa w
गैजेट्स 1.0	g ei j ee tx s
सौफ़्ट्वेयर 1.0	s ou f tx w ee y a r
सेटलिंग 1.0	s ee tx l i q g
बाकियों 1.0	b aa k i y oo q
पंहुचा 1.0	p a q h u c aa
केदारनाथ 1.0	k ee d aa r n aa th
मंत्रियों 1.0	m a q t r i y oo q
कृष्णदेवराय 1.0	k rq sx nx a d ee w r aa y
घुलकर 1.0	gh u l k a r
छुआछूत 1.0	ch u aa ch uu t
यरलुंग 1.0	y a r l u q g
बर्निंग 1.0	b a r n i q g
तेजस्वी 1.0	t ee j a s w ii
गोल्डन 1.0	g oo l dx a n
अदूरदर्शिता 1.0	a d uu r d a r sh i t aa
स्टम्प्स 1.0	s tx a m p s
संबंध 1.0	s a q b a q dh
देवीमाहात्म्य 1.0	d ee w ii m aa h aa t m y
पुत्रदा 1.0	p u t r a d aa
एमएफएन 1.0	ee m a ee ph a ee n
वैट 1.0	w ei tx
प्रयोगशलाओं 1.0	p r y oo g a sh l aa oo q
ऊँगली 1.0	uu mq g a l ii
एनीमिया 1.0	ee n ii m i y aa
वेट्रेस 1.0	w ee tx r ee s
वोले 1.0	w oo l ee
निकलता 1.0	n i k a l t aa
असातत्य 1.0	a s aa t a t y
कंट्रोवर्सी 1.0	k a q tx r oo w a r s ii
निशाना 1.0	n i sh aa n aa
उमवी 1.0	u m a w ii
एनएचएम 1.0	ee n a ee c a ee m
परवश 1.0	p a r w a sh
करछम 1.0	k a r ch a m
ओमपाल 1.0	oo m p aa l
जीना 1.0	j ii n aa
स्विटज़रलैंड 1.0	s w i tx a z r a l ei q dx
वायरोलॉजी 1.0	w aa y r oo l ax j ii
अनुज 1.0	a n u j
इसे 1.0	i s ee
गाड़ियां 1.0	g aa dxq i y aa q
दलहनों 1.0	d a l a h n oo q
गन्दी 1.0	g a n d ii
गन्ने 1.0	g a n n ee
ऑयल्स 1.0	ax y a l s
उपयोक्ताओं 1.0	u p a y oo k t aa oo q
सुदृढ 1.0	s u d rq dxh
बुजनोर्द 1.0	b u j n oo r d
उपचयित 1.0	u p a c y i t
प्रबंधित 1.0	p r b a q dh i t
वैष्णोदेवी 1.0	w ei sx nx oo d ee w ii
संगति 1.0	s a q g a t i
आएँगे 1.0	aa ee mq g ee
अबतक 1.0	a b t a k
गौड़पाद 1.0	g ou dxq p aa d
ओमती 1.0	oo m t ii
मोटरें 1.0	m oo tx r ee q
रजिस्ट्री 1.0	r a j i s tx r ii
इतनी 1.0	i t n ii
बनड़ 1.0	b a n a dxq
मैकेनिक 1.0	m ei k ee n i k
तीक्षण 1.0	t ii k sx a nx
ग्वारसीड 1.0	g w aa r s ii dx
भनोट 1.0	bh a n oo tx
गिरफतार 1.0	g i r a ph t aa r
धार्मिकता 1.0	dh aa r m i k t aa
दिक़्क़तों 1.0	d i k nk kq t oo q
कमलपुर 1.0	k a m a l p u r
क्रशर 1.0	k r sh a r
पथपाकर 1.0	p a th p aa k a r
बोधिसत्व 1.0	b oo dh i s a t w
ईरोड 1.0	ii r oo dx
टैब 1.0	tx ei b
आम्बेडकरवादी 1.0	aa m b ee dx k a r w aa d ii
पुस्तकालयविज्ञान 1.0	p u s t a k aa l y a w i j nj aa n
स्मरण 1.0	s m r a nx
सायं 1.0	s aa y a q
पाश 1.0	p aa sh
बेटियां 1.0	b ee tx i y aa q
क्रियान्वित 1.0	k r i y aa n w i t
फलदायी 1.0	ph a l d aa y ii
कॉलोनी 1.0	k ax l oo n ii
प्रपोज 1.0	p r p oo j
डिम्पल 1.0	dx i m p a l
निम्मा 1.0	n i m m aa
हेर 1.0	h ee r
ऐंटिफंगल 1.0	ei q tx i ph a q g a l
बुकी 1.0	b u k ii
दायां 1.0	d aa y aa q
प्रारम्भ 1.0	p r aa r a m bh
पीटीएम 1.0	p ii tx ii ee m
कोथुर्ड 1.0	k oo th u r dx
क्राइट 1.0	k r aa i tx
उम्मीदवारों 1.0	u m m ii d w aa r oo q
हिन्दयूरोपीय 1.0	h i n d a y uu r oo p ii y
मधेपुरा 1.0	m a dh ee p u r aa
परोक्ष 1.0	p a r oo k sx
कट्टों 1.0	k a tx tx oo q
पाचाड 1.0	p aa c aa dx
पेपर 1.0	p ee p a r
बाधित 1.0	b aa dh i t
द्वादश 1.0	d w aa d a sh
सीसीटीऍलडी 1.0	s ii s ii tx ii ae l dx ii
सुपरफास्ट 1.0	s u p a r ph aa s tx
प्रव्रज्या 1.0	p r a w r a j y aa
फास्फेटों 1.0	ph aa s ph ee tx oo q
इंट्राडे 1.0	i q tx r aa dx ee
यत्र 1.0	y a t r
फेक 1.0	ph ee k
प्रश्वास 1.0	p r a sh w aa s
वोटरों 1.0	w oo tx r oo q
निरूपा 1.0	n i r uu p aa
मुस्कुराहट 1.0	m u s k u r aa h a tx
धनु 1.0	dh a n u
बूटपॉलिश 1.0	b uu tx p ax l i sh
कोठारे 1.0	k oo txh aa r ee
सबेरा 1.0	s a b ee r aa
बटमारों 1.0	b a tx m aa r oo q
राजनीतिज्ञा 1.0	r aa j n ii t i j nj aa
क्रिएशन 1.0	k r i ee sh a n
मार्डन 1.0	m aa r dx a n
आयुर्वेदशास्त्र 1.0	aa y u r w ee d sh aa s t r
असेंबलिंग 1.0	a s ee q b a l i q g
तिलपाड़ा 1.0	t i l p aa dxq aa
बिचौलियों 1.0	b i c ou l i y oo q
पॉलीथिन 1.0	p ax l ii th i n
पैरोल 1.0	p ei r oo l
सान्निध्य 1.0	s aa n n i dh y
थियेटर्स 1.0	th i y ee tx a r s
पत्रकार 1.0	p a t r a k aa r
टरकाया 1.0	tx a r k aa y aa
अम 1.0	a m
देकर 1.0	d ee k a r
वोंलेंटियर 1.0	w oo q l ee q tx i y a r
शुमार 1.0	sh u m aa r
स्थिरांक 1.0	s th i r aa q k
हाथीदांत 1.0	h aa th ii d aa q t
डिजीज 1.0	dx i j ii j
परतें 1.0	p a r t ee q
सवैये 1.0	s a w ei y ee
निर्देशक 1.0	n i r d ee sh a k
विशेष 1.0	w i sh ee sx
बनना 1.0	b a n n aa
शॉपिंग 1.0	sh ax p i q g
फिक्रमंद 1.0	ph i k r a m a q d
सिलसिले 1.0	s i l s i l ee
योजनाबद्ध 1.0	y oo j n aa b a d dh
प्रागण 1.0	p r aa g a nx
शैलेश 1.0	sh ei l ee sh
यीहान 1.0	y ii h aa n
अध्यादेशों 1.0	a dh y aa d ee sh oo q
अंतर्देशीय 1.0	a q t a r d ee sh ii y
तरलीकृत 1.0	t a r l ii k rq t
पहले 1.0	p a h l ee
इरादों 1.0	i r aa d oo q
मैक्डॉनल्ड्स 1.0	m ei k dx ax n a l dx s
वाटर 1.0	w aa tx a r
मैकडॉनल्ड्स 1.0	m ei k dx ax n a l dx s
रिसिका 1.0	r i s i k aa
दृय 1.0	d rq y
रॉलेट 1.0	r ax l ee tx
चैसकॉन 1.0	c ei s k ax n
ग्लिटर 1.0	g l i tx a r
कन्फेक्शनरी 1.0	k a n ph ee k sh a n a r ii
कबायली 1.0	k a b aa y l ii
पंचमढ़ी 1.0	p a q c a m dxhq ii
वाइल्डकार्ड 1.0	w aa i l dx a k aa r dx
बहानों 1.0	b a h aa n oo q
हॉट 1.0	h ax tx
डोरेमॉन 1.0	dx oo r ee m ax n
अरेस्टिड 1.0	a r ee s tx i dx
कागज़ों 1.0	k aa g a z oo q
चार्ल्स 1.0	c aa r l s
चीनी 1.0	c ii n ii
नायब 1.0	n aa y a b
चिन्ह 1.0	c i n h
बंटा 1.0	b a q tx aa
लाला 1.0	l aa l aa
पौडी 1.0	p ou dx ii
उजूर 1.0	u j uu r
पदार्थ 1.0	p a d aa r th
सहज 1.0	s a h a j
गिरफ़्तारी 1.0	g i r a f t aa r ii
पर्यत 1.0	p a r y a t
आरती 1.0	aa r t ii
प्रणेताओं 1.0	p r nx ee t aa oo q
श्रीश 1.0	sh r ii sh
धुनों 1.0	dh u n oo q
पुस्तकों 1.0	p u s t a k oo q
गौमांस 1.0	g ou m aa q s
ओम्स्क 1.0	oo m s k
नीरोग 1.0	n ii r oo g
कालवा 1.0	k aa l w aa
आवंटन 1.0	aa w a q tx a n
शारिपुत्र 1.0	sh aa r i p u t r
विधियों 1.0	w i dh i y oo q
मगडौर 1.0	m a g dx ou r
घोल 1.0	gh oo l
कडवर्कों 1.0	k a dx w a r k oo q
डालेंगे 1.0	dx aa l ee q g ee
अन्तर्वलित 1.0	a n t a r w a l i t
डायरेक्ट 1.0	dx aa y r ee k tx
धर्मयात्रा 1.0	dh a r m a y aa t r aa
राजबाला 1.0	r aa j b aa l aa
भाग्यवश 1.0	bh aa g y a w a sh
पैंटोविक 1.0	p ei q tx oo w i k
चर्चाएं 1.0	c a r c aa ee q
सेफीक्सीम 1.0	s ee ph ii k s ii m
सीलियाक 1.0	s ii l i y aa k
पृ 1.0	p rq
रहम 1.0	r a h a m
कार्यदिवसों 1.0	k aa r y a d i w s oo q
मनोहरलाल 1.0	m a n oo h r a l aa l
इक्यानवे 1.0	i k y aa n w ee
वर्गभेद 1.0	w a r g a bh ee d
यांग 1.0	y aa q g
दुष्पचार 1.0	d u sx p a c aa r
ट्रिपल 1.0	tx r i p a l
शहपुरा 1.0	sh a h p u r aa
पुस्तकालयविज्ञानी 1.0	p u s t a k aa l y a w i j nj aa n ii
पारम्परिक 1.0	p aa r a m p a r i k
प्रदत्त 1.0	p r d a t t
फाइट 1.0	ph aa i tx
महानायक 1.0	m a h aa n aa y a k
चालाकी 1.0	c aa l aa k ii
सुन्दर 1.0	s u n d a r
दुल्हनिया 1.0	d u l h a n i y aa
रघुवेंद्र 1.0	r a gh u w ee q d r
क्राइमिया 1.0	k r aa i m i y aa
नरीमन 1.0	n a r ii m a n
मन्नतों 1.0	m a n n t oo q
सदाशिवनगर 1.0	s a d aa sh i w a n g a r
उग्रता 1.0	u g r a t aa
दंडासन 1.0	d a q dx aa s a n
खुली 1.0	kh u l ii
अध्यादेश 1.0	a dh y aa d ee sh
सलामती 1.0	s a l aa m t ii
हराया 1.0	h a r aa y aa
राऊ 1.0	r aa uu
शौक 1.0	sh ou k
लुपंन 1.0	l u p a q n
टेरर 1.0	tx ee r a r
तेरसू 1.0	t ee r s uu
बचेखुचे 1.0	b a c ee kh u c ee
आतेआते 1.0	aa t ee aa t ee
अधिकतर 1.0	a dh i k t a r
उच्चारण 1.0	u c c aa r a nx
ढेलकी 1.0	dxh ee l k ii
कलमना 1.0	k a l a m n aa
ब्रैथवेट 1.0	b r ei th w ee tx
शैलसमूहों 1.0	sh ei l a s m uu h oo q
यहूदी 1.0	y a h uu d ii
लार्च 1.0	l aa r c
विरासत 1.0	w i r aa s a t
ऊष्मातापी 1.0	uu sx m aa t aa p ii
छट 1.0	ch a tx
ऊष्मागतिकी 1.0	uu sx m aa g t i k ii
श्रोणि 1.0	sh r oo nx i
नवागांव 1.0	n a w aa g aa q w
शिकायतकर्ताओं 1.0	sh i k aa y a t k a r t aa oo q
डायलोबे 1.0	dx aa y l oo b ee
क्रेमलिन 1.0	k r ee m l i n
प्रेमजी 1.0	p r ee m j ii
ओलंपिकस 1.0	oo l a q p i k a s
विकेन्द्रीकृत 1.0	w i k ee n d r ii k rq t
टेगिंग 1.0	tx ee g i q g
बिग्गाजी 1.0	b i g g aa j ii
एसआइटी 1.0	ee s a aa i tx ii
शांतिवार्ता 1.0	sh aa q t i w aa r t aa
घाटमपुर 1.0	gh aa tx a m p u r
अहंकार 1.0	a h a q k aa r
मिटने 1.0	m i tx n ee
ऑब्जेक्ट 1.0	ax b j ee k tx
अतिम 1.0	a t i m
रखनाा 1.0	r a kh n aa aa
जगजीवन 1.0	j a g j ii w a n
विजयघाट 1.0	w i j a y gh aa tx
चंद् 1.0	c a q d
केंद्राध्यक्षों 1.0	k ee q d r aa dh y a k sx oo q
दूरदराज 1.0	d uu r d a r aa j
यकीनन 1.0	y a k ii n a n
प्रस्तोता 1.0	p r a s t oo t aa
कीमोथेरेपी 1.0	k ii m oo th ee r ee p ii
ओएमआर 1.0	oo ee m a aa r
प्रान्तों 1.0	p r aa n t oo q
वृन्त 1.0	w rq n t
अस्मत 1.0	a s m a t
समरोली 1.0	s a m r oo l ii
झिल्लीमय 1.0	jh i l l ii m a y
छुड़ाया 1.0	ch u dxq aa y aa
आर्या 1.0	aa r y aa
मूलाधार 1.0	m uu l aa dh aa r
कार्रवाइयां 1.0	k aa r r w aa i y aa q
स्पेनिस 1.0	s p ee n i s
गेनसेट्स 1.0	g ee n s ee tx s
झारखंड 1.0	jh aa r kh a q dx
हिंदपार्थी 1.0	h i q d a p aa r th ii
जैकोब 1.0	j ei k oo b
जोनुनतुआंगा 1.0	j oo n u n t u aa q g aa
अभियोगका 1.0	a bh i y oo g k aa
पोएट 1.0	p oo ee tx
खुराकों 1.0	kh u r aa k oo q
अखंडता 1.0	a kh a q dx a t aa
दांतेवाड़ा 1.0	d aa q t ee w aa dxq aa
घर्म 1.0	gh a r m
फकीरचंद 1.0	ph a k ii r c a q d
जीवीके 1.0	j ii w ii k ee
थ्रेडिंग 1.0	th r ee dx i q g
धराशाई 1.0	dh a r aa sh aa ii
डिबेट 1.0	dx i b ee tx
अति 1.0	a t i
स्काउटिंग 1.0	s k aa u tx i q g
परिचितों 1.0	p a r i c i t oo q
समीपवर्तीं 1.0	s a m ii p w a r t ii q
यूक्लिडी 1.0	y uu k l i dx ii
पणजी 1.0	p a nx j ii
गिलास 1.0	g i l aa s
मारो 1.0	m aa r oo
ठीकेदार 1.0	txh ii k ee d aa r
पालनाघर 1.0	p aa l n aa gh a r
पस्थितियों 1.0	p a s th i t i y oo q
तुझे 1.0	t u jh ee
हिस्तरी 1.0	h i s t a r ii
आइसीसी 1.0	aa i s ii s ii
बिसरा 1.0	b i s r aa
विश्रामगृह 1.0	w i sh r aa m g rq h
अवार्डी 1.0	a w aa r dx ii
बुलन्दशहर 1.0	b u l a n d a sh a h a r
आंतों 1.0	aa q t oo q
ड्राईनेस 1.0	dx r aa ii n ee s
रामनिवास 1.0	r aa m n i w aa s
कायिक 1.0	k aa y i k
सूर्चचक्र 1.0	s uu r c a c a k r
डीपीएस 1.0	dx ii p ii ee s
खिरकिया 1.0	kh i r k i y aa
हिमपात 1.0	h i m p aa t
थोरियम 1.0	th oo r i y a m
लिनसीड 1.0	l i n s ii dx
मालवणी 1.0	m aa l a w nx ii
रिकार्ड 1.0	r i k aa r dx
ब्रांज 1.0	b r aa q j
वन 1.0	w a n
तुर्की 1.0	t u r k ii
समझाौते 1.0	s a m jh aa ou t ee
मिलाइये 1.0	m i l aa i y ee
गोबिंदसागर 1.0	g oo b i q d a s aa g a r
साझीदारों 1.0	s aa jh ii d aa r oo q
खर्चे 1.0	kh a r c ee
वर्णोच्चारण 1.0	w a r nx oo c c aa r a nx
शिंजो 1.0	sh i q j oo
हरपालसिंह 1.0	h a r p aa l s i q h
भा 1.0	bh aa
क्रिकेटिंग 1.0	k r i k ee tx i q g
जट 1.0	j a tx
फूट 1.0	ph uu tx
पूवरेत्तर 1.0	p uu w r ee t t a r
क्षमतावान 1.0	k sx a m t aa w aa n
बीए 1.0	b ii ee
दात 1.0	d aa t
राडार 1.0	r aa dx aa r
फ़याज़ 1.0	f a y aa z
वृंदावन 1.0	w rq q d aa w a n
सार्वजनीन 1.0	s aa r w a j a n ii n
जैसा 1.0	j ei s aa
फिसलकर 1.0	ph i s a l k a r
सींचा 1.0	s ii q c aa
भद्र 1.0	bh a d r
अस्पताल 1.0	a s p a t aa l
खुलेगी 1.0	kh u l ee g ii
घाट 1.0	gh aa tx
ड्रैगन 1.0	dx r ei g a n
अल्बर्टो 1.0	a l b a r tx oo
सैलेरी 1.0	s ei l ee r ii
मंजरी 1.0	m a q j a r ii
जलदाय 1.0	j a l d aa y
बीडब्ल्यूएफ 1.0	b ii dx a b l y uu ee ph
अच्छे 1.0	a c ch ee
शंख 1.0	sh a q kh
सुसंस्कारपूर्वक 1.0	s u s a q s k aa r p uu r w a k
काॅमिक्स 1.0	k aa ae m i k s
चेचक 1.0	c ee c a k
दबावित 1.0	d a b aa w i t
पेयजल 1.0	p ee y j a l
उन्हाेंने 1.0	u n h aa ee q n ee
भट्ठे 1.0	bh a tx txh ee
किंग्स 1.0	k i q g s
दुःखी 1.0	d u hq kh ii
स्टीक 1.0	s tx ii k
मंजूरियां 1.0	m a q j uu r i y aa q
बिरादरी 1.0	b i r aa d r ii
सूखा 1.0	s uu kh aa
नौकरशाही 1.0	n ou k r a sh aa h ii
मुनिजी 1.0	m u n i j ii
बंदे 1.0	b a q d ee
बॉडीबिल्डिंग 1.0	b ax dx ii b i l dx i q g
सेवस्तोपोल 1.0	s ee w a s t oo p oo l
तस 1.0	t a s
लैटर 1.0	l ei tx a r
कनेरिया 1.0	k a n ee r i y aa
वैंड 1.0	w ei q dx
बजकर 1.0	b a j k a r
छठव्रती 1.0	ch a txh a w r a t ii
सांवलेपन 1.0	s aa q w a l ee p a n
हाजीगंज 1.0	h aa j ii g a q j
बंटाया 1.0	b a q tx aa y aa
जीवों 1.0	j ii w oo q
कमरदर्द 1.0	k a m a r d a r d
डॉक्टरी 1.0	dx ax k tx a r ii
